title	series	country	face_value	release_date	mint	mint_short	metal	metal_fineness	mintage	mintage_display	weight_g	weight_oz	catalog_number	catalog_suffix	quality	diameter_mm	thickness_mm	length_mm	width_mm	image_obverse	image_reverse
American Silver Eagle 2016	American Eagle	США	1 доллар	2016-01-01	Монетный двор США	US Mint	Серебро	999/1000	43503000	43 503 000	31,1035	1 унция	US-ASE-2016-BU	16	АЦ	40,6	2,98				
American Silver Eagle 2016 (W)	American Eagle	США	1 доллар	2016-01-01	Вест-Поинт	West Point	Серебро	999/1000	237753	237 753	31,1035	1 унция	US-ASE-2016-W-BU	16W	АЦ	40,6	2,98				
American Silver Eagle 2016 (W)	American Eagle	США	1 доллар	2016-01-01	Вест-Поинт	West Point	Серебро	999/1000	651467	651 467	31,1035	1 унция	US-ASE-2016-W-P	16W	Пруф	40,6	2,98				
American Silver Eagle 2015	American Eagle	США	1 доллар	2015-01-01	Монетный двор США	US Mint	Серебро	999/1000	47079640	47 079 640	31,1035	1 унция	US-ASE-2015-BU	15	АЦ	40,6	2,98				
American Silver Eagle 2015 (W)	American Eagle	США	1 доллар	2015-01-01	Вест-Поинт	West Point	Серебро	999/1000	223879	223 879	31,1035	1 унция	US-ASE-2015-W-BU	15W	АЦ	40,6	2,98				
American Silver Eagle 2015 (W)	American Eagle	США	1 доллар	2015-01-01	Вест-Поинт	West Point	Серебро	999/1000	707518	707 518	31,1035	1 унция	US-ASE-2015-W-P	15W	Пруф	40,6	2,98				
American Silver Eagle 2014	American Eagle	США	1 доллар	2014-01-01	Монетный двор США	US Mint	Серебро	999/1000	51085000	51 085 000	31,1035	1 унция	US-ASE-2014-BU	14	АЦ	40,6	2,98				
American Silver Eagle 2014 (W)	American Eagle	США	1 доллар	2014-01-01	Вест-Поинт	West Point	Серебро	999/1000	944757	944 757	31,1035	1 унция	US-ASE-2014-W-P	14W	Пруф	40,6	2,98				
American Silver Eagle 2013	American Eagle	США	1 доллар	2013-01-01	Монетный двор США	US Mint	Серебро	999/1000	42675001	42 675 001	31,1035	1 унция	US-ASE-2013-BU	13	АЦ	40,6	2,98				
American Silver Eagle 2013 (W)	American Eagle	США	1 доллар	2013-01-01	Вест-Поинт	West Point	Серебро	999/1000	253169	253 169	31,1035	1 унция	US-ASE-2013-W-BU	13W	АЦ	40,6	2,98				
American Silver Eagle 2013 (W)	American Eagle	США	1 доллар	2013-01-01	Вест-Поинт	West Point	Серебро	999/1000	944770	944 770	31,1035	1 унция	US-ASE-2013-W-P	13W	Пруф	40,6	2,98				
American Silver Eagle 2012	American Eagle	США	1 доллар	2012-01-01	Монетный двор США	US Mint	Серебро	999/1000	33742501	33 742 501	31,1035	1 унция	US-ASE-2012-BU	12	АЦ	40,6	2,98				
American Silver Eagle 2012 (S)	American Eagle	США	1 доллар	2012-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	506727	506 727	31,1035	1 унция	US-ASE-2012-S-P	12S	Пруф	40,6	2,98				
American Silver Eagle 2012 (W)	American Eagle	США	1 доллар	2012-01-01	Вест-Поинт	West Point	Серебро	999/1000	226120	226 120	31,1035	1 унция	US-ASE-2012-W-BU	12W	АЦ	40,6	2,98				
American Silver Eagle 2012 (W)	American Eagle	США	1 доллар	2012-01-01	Вест-Поинт	West Point	Серебро	999/1000	877731	877 731	31,1035	1 унция	US-ASE-2012-W-P	12W	Пруф	40,6	2,98				
American Silver Eagle 2011	American Eagle	США	1 доллар	2011-01-01	Монетный двор США	US Mint	Серебро	999/1000	40020001	40 020 001	31,1035	1 унция	US-ASE-2011-BU	11	АЦ	40,6	2,98				
American Silver Eagle 2011 (P)	American Eagle	США	1 доллар	2011-01-01	Филадельфия	Philadelphia	Серебро	999/1000	100000	100 000	31,1035	1 унция	US-ASE-2011-P-P	11P	Пруф	40,6	2,98				
American Silver Eagle 2011 (S)	American Eagle	США	1 доллар	2011-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	100000	100 000	31,1035	1 унция	US-ASE-2011-S-BU	11S	АЦ	40,6	2,98				
American Silver Eagle 2011 (W)	American Eagle	США	1 доллар	2011-01-01	Вест-Поинт	West Point	Серебро	999/1000	409809	409 809	31,1035	1 унция	US-ASE-2011-W-BU	11W	АЦ	40,6	2,98				
American Silver Eagle 2011 (W)	American Eagle	США	1 доллар	2011-01-01	Вест-Поинт	West Point	Серебро	999/1000	950000	950 000	31,1035	1 унция	US-ASE-2011-W-P	11W	Пруф	40,6	2,98				
American Silver Eagle 2010	American Eagle	США	1 доллар	2010-01-01	Монетный двор США	US Mint	Серебро	999/1000	34764500	34 764 500	31,1035	1 унция	US-ASE-2010-BU	10	АЦ	40,6	2,98				
American Silver Eagle 2010 (W)	American Eagle	США	1 доллар	2010-01-01	Вест-Поинт	West Point	Серебро	999/1000	849861	849 861	31,1035	1 унция	US-ASE-2010-W-P	10W	Пруф	40,6	2,98				
American Silver Eagle 2009	American Eagle	США	1 доллар	2009-01-01	Монетный двор США	US Mint	Серебро	999/1000	30459000	30 459 000	31,1035	1 унция	US-ASE-2009-BU	09	АЦ	40,6	2,98				
