file	changed	border_dark_ratio	removed_pixels	removed_ratio
harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin-box.webp	0	0.0000	0	0.0000
harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
hms-belfast-2025-uk-2-pound-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
hms-belfast-2025-uk-2-pound-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
iron-maiden-2025-2oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
iron-maiden-2025-2oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
john-lennon-2025-1kg-silver-proof-coin-box.webp	0	0.0000	0	0.0000
john-lennon-2025-1kg-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
john-lennon-2025-1kg-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
krugerrand-2024-1oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
krugerrand-2024-1oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
legendary-creatures-loch-ness-monster-2026-uk-1oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
legendary-creatures-loch-ness-monster-2026-uk-1oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
lunar-year-of-the-dragon-2024-uk-5oz-silver-proof-coin-obv.webp	1	1.0000	510455	0.3545
lunar-year-of-the-dragon-2024-uk-5oz-silver-proof-coin-rev.webp	1	1.0000	588753	0.4089
lunar-year-of-the-horse-1oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
lunar-year-of-the-horse-1oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
lunar-year-of-the-snake-2025-1oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
lunar-year-of-the-snake-2025-1oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
lunar-year-of-the-snake-2025-5oz-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
lunar-year-of-the-snake-2025-5oz-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
mary-poppins-2025-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
mary-poppins-2025-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
merlin-2025-10oz-bullion-coin-blister-obv.webp	0	0.0000	0	0.0000
merlin-2025-10oz-bullion-coin-blister-rev.webp	0	0.0000	0	0.0000
merlin-2025-10oz-bullion-coin-obv.webp	0	0.0000	0	0.0000
merlin-2025-10oz-bullion-coin-rev.webp	0	0.0000	0	0.0000
myths-and-legends-morgan-le-fay-2023-uk-1oz-silver-proof-coin-blister-obv.webp	0	0.0000	0	0.0000
myths-and-legends-morgan-le-fay-2023-uk-1oz-silver-proof-coin-blister-rev.webp	0	0.0000	0	0.0000
myths-and-legends-morgan-le-fay-2023-uk-1oz-silver-proof-coin-obv.webp	1	1.0000	541023	0.3757
myths-and-legends-morgan-le-fay-2023-uk-1oz-silver-proof-coin-rev.webp	1	1.0000	535837	0.3721
paul-mccartney-2024-uk-1oz-silver-proof-coin-obv.webp	1	1.0000	519951	0.3611
paul-mccartney-2024-uk-1oz-silver-proof-coin-rev.webp	1	1.0000	580834	0.4034
paul-mccartney-2024-uk-2oz-silver-proof-coin-obv.webp	1	1.0000	547451	0.3802
paul-mccartney-2024-uk-2oz-silver-proof-coin-rev.webp	1	1.0000	603912	0.4194
paul-mccartney2024-uk-1oz-silver-proof-colour-coin-obv.webp	1	1.0000	539641	0.3748
paul-mccartney2024-uk-1oz-silver-proof-colour-coin-rev.webp	1	1.0000	565468	0.3927
penny-2024-silver-brilliant-uncirculated-coin-obv.webp	1	1.0000	926755	0.6436
penny-2024-silver-brilliant-uncirculated-coin-rev.webp	1	1.0000	1032294	0.7169
portraits-of-a-queen-elizabeth-ii-the-fifth-effigy-2026-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-fifth-effigy-2026-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-fourth-effigy-2026-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-fourth-effigy-2026-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-fourth-effigy-2026-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-fourth-effigy-2026-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-third-effigy-2026-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-third-effigy-2026-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-third-effigy-2026-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-ii-the-third-effigy-2026-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-the-fifth-effigy-2026-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
portraits-of-a-queen-elizabeth-the-fifth-effigy-2026-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
red-arrows-2025-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
red-arrows-2025-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
red-arrows-2025-50p-silver-proof-piedfort-colour-coin-box.webp	0	0.0000	0	0.0000
red-arrows-2025-50p-silver-proof-piedfort-colour-coin-obv.webp	0	0.0000	0	0.0000
red-arrows-2025-50p-silver-proof-piedfort-colour-coin-rev.webp	0	0.0000	0	0.0000
rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-blister-obv.webp	0	0.0000	0	0.0000
rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-blister-rev.webp	0	0.0000	0	0.0000
rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-rev.webp	0	0.0000	0	0.0000
rrs-discovery-2025-2-pound-silver-proof-coin-cert.webp	0	0.0000	0	0.0000
rrs-discovery-2025-2-pound-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
rrs-discovery-2025-2-pound-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
rrs-discovery-2025-2-silver-proof-piedfort-coin-cert.webp	0	0.0000	0	0.0000
rrs-discovery-2025-2-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
rrs-discovery-2025-2-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
rtgr252s-the-royal-tudor-beasts-2025-greyhound-of-richmond-2oz-silver-bullion-coin-blister-obv.webp	0	0.0000	0	0.0000
rtgr252s-the-royal-tudor-beasts-2025-greyhound-of-richmond-2oz-silver-bullion-coin-blister-rev.webp	0	0.0000	0	0.0000
rtgr252s-the-royal-tudor-beasts-2025-greyhound-of-richmond-2oz-silver-bullion-coin-obv.webp	0	0.0000	0	0.0000
