id,title,mint,country,source_url,official_status,http_status,official_mintage,official_mintage_display,official_raw
4261,Lake Argyle Pink Diamond 2018 1oz Platinum Ingot,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/ingots-and-bars/lake-argyle-pink-diamond-2018-1oz-platinum-ingot-retail,found,200,50,50,50
4264,Australian Kangaroo 2021 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2021-2oz-gold-proof-high-relief-coin,found,200,200,200,200
4267,Australian Kangaroo 2022 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2022-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4269,Australian Kangaroo 2022 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2022-2oz-gold-proof-high-relief-coin,found,200,200,200,200
4272,Australian Kangaroo 2023 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kangaroo-2023-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4274,Australian Kangaroo 2023 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kangaroo-2023-2oz-gold-proof-high-relief-coin,found,200,200,200,200
4276,Australian Kangaroo 2023 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kangaroo-2023-5oz-gold-proof-coin,found,200,50,50,50
4279,Australian Kangaroo 2024 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4281,Australian Kangaroo 2024 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-2oz-gold-proof-high-relief-coin,found,200,200,200,200
4283,Australian Kangaroo 2024 5oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-5oz-gold-proof-coin,found,200,50,50,50
4284,Australian Kangaroo 2024 Gold Proof Four-Coin Set,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kangaroo-2024-gold-proof-four-coin-set,found,200,199199199199,199 199 199 199,199 199 199 199
4287,Australian Kangaroo 2025 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kangaroo-2025-1oz-gold-proof-high-relief-coin,found,200,200,200,200
4289,Australian Kangaroo 2025 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kangaroo-2025-2oz-gold-proof-high-relief-coin,found,200,200,200,200
